,school_name,level_of_schooling,school_gender,suburb,latitude,longitude
165,Bungendore Public School,Primary School,Coed,Bungendore ,-35.2556,149.4446
166,Bungwahl Public School,Primary School,Coed,Bungwahl,-32.3891,152.4486
167,Bunnaloo Public School,Primary School,Coed,Bunnaloo,-35.7864,144.5979
168,Burke Ward Public School,Primary School,Coed,Broken Hill ,-31.9604,141.4411
169,Burnside Public School,Primary School,Coed,North Parramatta ,-33.7926,151.0183
170,Burraga Public School,Primary School,Coed,Burraga,-33.9493,149.5279
171,Burrawang Public School,Primary School,Coed,Burrawang ,-34.5922,150.5172
172,Burren Junction Public School,Primary School,Coed,Burren Junction ,-30.1027,148.9647
173,Burringbar Public School,Primary School,Coed,Burringbar ,-28.4366,153.4667
174,Burrumbuttock Public School,Primary School,Coed,Burrumbuttock ,-35.8375,146.8
175,Burwood Public School,Primary School,Coed,Burwood,-33.8768,151.099
176,Buxton Public School,Primary School,Coed,Buxton ,-34.247,150.5448
177,Byron Bay Public School,Primary School,Coed,Byron Bay ,-28.6474,153.6148
178,Cabbage Tree Island Public School,Primary School,Coed,Cabbage Tree Island,-28.9837,153.4578
179,Cabramatta Public School,Primary School,Coed,Cabramatta ,-33.8958,150.9426
180,Cambewarra Public School,Primary School,Coed,Cambewarra ,-34.8215,150.556
181,Camden Public School,Primary School,Coed,Camden ,-34.052,150.6932
182,Camdenville Public School,Primary School,Coed,Newtown ,-33.9061,151.1757
183,Cammeray Public School,Primary School,Coed,Cammeray ,-33.8204,151.2115
184,Campbelltown Public School,Primary School,Coed,Campbelltown ,-34.0701,150.8156
185,Campsie Public School,Primary School,Coed,Campsie,-33.9119,151.1048
186,Candelo Public School,Primary School,Coed,Candelo ,-36.7684,149.6957
187,Caniaba Public School,Primary School,Coed,Lismore ,-28.8308,153.2313
188,Canley Vale Public School,Primary School,Coed,Canley Vale ,-33.8868,150.9376
189,Canobolas Public School,Primary School,Coed,Orange ,-33.3059,149.0462
190,Canterbury Public School,Primary School,Coed,Canterbury ,-33.9088,151.1223
191,Brisbania Public School,Primary School,Coed,Saratoga,-33.4788,151.3573
192,Uranquinty Public School,Primary School,Coed,Uranquinty,-35.1888,147.2495
193,Capertee Public School,Primary School,Coed,Capertee ,-33.1471,149.9859
194,Captains Flat Public School,Primary School,Coed,Captains Flat,-35.5872,149.4501
195,Caragabal Public School,Primary School,Coed,Caragabal ,-33.8453,147.7444
196,Carcoar Public School,Primary School,Coed,Carcoar ,-33.6123,149.1424
197,Cardiff Public School,Primary School,Coed,Cardiff ,-32.9458,151.6578
198,Cargo Public School,Primary School,Coed,Cargo ,-33.4276,148.8077
199,Carinda Public School,Primary School,Coed,Carinda ,-30.4619,147.6876
200,Caringbah Public School,Primary School,Coed,Caringbah ,-34.0534,151.123
201,Carlton Public School,Primary School,Coed,Bexley ,-33.9635,151.1225
202,Carlton South Public School,Primary School,Coed,Carlton ,-33.973,151.1283
203,Carool Public School,Primary School,Coed,Carool,-28.23,153.4293
204,Carrathool Public School,Primary School,Coed,Carrathool,-34.4092,145.4316
205,Carrington Public School,Primary School,Coed,Carrington ,-32.9124,151.7653
206,Carroll Public School,Primary School,Coed,Carroll ,-30.9861,150.4471
207,Casino Public School,Primary School,Coed,Casino ,-28.8674,153.048
208,Dungay Public School,Primary School,Coed,Dungay,-28.2897,153.3824
209,Cassilis Public School,Primary School,Coed,Cassilis,-32.0046,149.9781
210,Castle Hill Public School,Primary School,Coed,Castle Hill ,-33.7279,151.0047
211,Cattai Public School,Primary School,Coed,Cattai ,-33.5588,150.9069
212,Cawdor Public School,Primary School,Coed,Camden ,-34.1097,150.6737
213,Cessnock Public School,Primary School,Coed,Cessnock ,-32.8404,151.3638
214,Cessnock East Public School,Primary School,Coed,Cessnock ,-32.8276,151.3698
215,Cessnock West Public School,Primary School,Coed,Cessnock ,-32.8384,151.3449
216,Chandler Public School,Primary School,Coed,Wollomombi,-30.5186,152.0536
217,The Channon Public School,Primary School,Coed,The Channon ,-28.6751,153.2803
218,Charlestown Public School,Primary School,Coed,Charlestown ,-32.9655,151.6975
219,Pacific Palms Public School,Primary School,Coed,Boomerang Beach ,-32.341,152.5393
220,Chatsworth Island Public School,Primary School,Coed,Chatsworth,-29.388,153.2316
221,Chillingham Public School,Primary School,Coed,Chillingham ,-28.3119,153.2756
222,Chipping Norton Public School,Primary School,Coed,Chipping Norton ,-33.9091,150.9608
223,Clarence Town Public School,Primary School,Coed,Clarence Town ,-32.5887,151.7772
224,Clemton Park Public School,Primary School,Coed,Earlwood,-33.9297,151.1084
225,Clovelly Public School,Primary School,Coed,Waverley ,-33.9074,151.2603
226,Clunes Public School,Primary School,Coed,Clunes ,-28.7248,153.4089
227,Cobar Public School,Primary School,Coed,Cobar ,-31.5022,145.8366
228,Cobargo Public School,Primary School,Coed,Cobargo,-36.3869,149.8828
229,Cobbitty Public School,Primary School,Coed,Cobbitty ,-34.0159,150.6859
230,Coffee Camp Public School,Primary School,Coed,Coffee Camp ,-28.6627,153.2206
231,Coffs Harbour Public School,Primary School,Coed,Coffs Harbour,-30.302,153.1204
232,Coledale Public School,Primary School,Coed,Coledale ,-34.2895,150.9474
233,Collarenebri Central School,Central/Community School,Coed,Collarenebri,-29.5438,148.5781
234,Collector Public School,Primary School,Coed,Collector,-34.9142,149.4332
235,Collingullie Public School,Primary School,Coed,Collingullie ,-35.0902,147.1272
236,Collins Creek Public School,Primary School,Coed,Collins Creek ,-28.4893,153.0226
237,Colyton Public School,Primary School,Coed,Mount Druitt ,-33.7772,150.8132
238,Comboyne Public School,Primary School,Coed,Comboyne ,-31.6053,152.4727
239,Comleroy Road Public School,Primary School,Coed,Kurrajong,-33.5065,150.6976
240,Como Public School,Primary School,Coed,Como ,-34.0018,151.0691
241,Conargo Public School,Primary School,Coed,Conargo ,-35.3053,145.1789
242,Concord Public School,Primary School,Coed,Concord ,-33.8632,151.1069
243,Concord West Public School,Primary School,Coed,Concord West ,-33.8396,151.0873
244,Condobolin Public School,Primary School,Coed,Condobolin,-33.0855,147.1491
245,Condong Public School,Primary School,Coed,Condong ,-28.3097,153.4344
246,Coniston Public School,Primary School,Coed,Coniston ,-34.439,150.8874
247,Connells Point Public School,Primary School,Coed,South Hurstville,-33.9847,151.1003
248,Cooerwull Public School,Primary School,Coed,Lithgow ,-33.4841,150.1421
249,Coogee Public School,Primary School,Coed,Coogee ,-33.9208,151.2498
250,Coolah Central School,Central/Community School,Coed,Coolah ,-31.821,149.7236
251,Coolamon Central School,Central/Community School,Coed,Coolamon ,-34.8119,147.2014
252,Shoalhaven Heads Public School,Primary School,Coed,Shoalhaven Heads,-34.8532,150.7401
253,Coolongolook Public School,Primary School,Coed,Coolongolook ,-32.2228,152.3188
254,Cooma Public School,Primary School,Coed,Cooma ,-36.2375,149.125
255,Coonabarabran Public School,Primary School,Coed,Coonabarabran ,-31.28,149.2821
256,Coonamble Public School,Primary School,Coed,Coonamble,-30.9584,148.387
257,Coopernook Public School,Primary School,Coed,Coopernook ,-31.8275,152.6079
258,Coorabell Public School,Primary School,Coed,Coorabell ,-28.6257,153.4875
259,Cooranbong Public School,Primary School,Coed,Cooranbong ,-33.0805,151.4418
260,Cootamundra Public School,Primary School,Coed,Cootamundra,-34.6389,148.0268
261,Copmanhurst Public School,Primary School,Coed,Copmanhurst ,-29.5847,152.7755
262,Coraki Public School,Primary School,Coed,Coraki ,-28.9926,153.2826
